chara072008_01.bytes,chara,jp,en,
27,Rika (高校生),"はぁ……どうしたものかしら。
こんなものを渡されても、正直困るんだけど……。","*sigh*... so I wonder what now?
Getting handed something like this is honestly more trouble than not...",
34,Satoko (高校生夏服),"あら……梨花ではありませんの。
こんなところで何をしておりまして？",My... if it isn't Rika. What could you be doing at a place like this?,
36,Rika (高校生),"沙都子……？　あの、もしよかったら
少し相談に乗ってもらいたいんだけど……いい？","Satoko...? Um, I might want some advice from you... is that okay?",from' you? right ((OH I MISSED THIS THANKS i edited it a few times
38,Satoko (高校生夏服),"……相談？　別に構いませんけど、
私に何かできることでもあるのかしら。",...Advice? That's no big deal at all; I'm sure I can help out somehow.,
40,Rika (高校生),"別に大したことじゃないわ。
ちょっと、あなたの意見を聞かせて
もらいたいと思ってね。","It's nothing particularly serious.
I just kind of thought I'd like to hear your opinion on it.",
42,Satoko (高校生夏服),"梨花の「大したことない」という言葉は
あまりあてになりませんけど……わかりましたわ。","I can't really trust an ""It's nothing serious"" when it's coming from you... but understood.",
44,Satoko (高校生夏服),それで、いったい何があったんですの？,So what could have happened?,
46,Rika (高校生),実は、さっき……ラブレターを渡されたのよ。,The truth is earlier... I was handed a love letter.,
48,Satoko (高校生夏服),"へぇ、それはそれは
おめでとうございまして……えっ？","Ooooh, my, my,
Congratulations to y-... huh?","she isn't that excited about it, 'Heeh, well then, congratulations to yo.... huh?'"
57,Satoko (高校生夏服),"梨花が、ラブレターぁぁっ？
それ、冗談ではなく本当のことですの？！","Rika, you got a looove letteeeeer?!
And it’s actually real and not a joke?!",ARENT ALL OF THE PEOPLE ON CAMPUS GIRLS TOO!??!/ AAAAA
65,Rika (高校生),"……何も、そこまで驚かなくてもいいでしょ。
私がそういうのをもらうのって、
そこまで意外なことだったりするの？","...You don't have to be that surprised.
Is it really that unexpected for me to get something like this?",
67,Satoko (高校生夏服),"いえ、そうではありませんけど……
まぁ、普段から取り巻きの方々に慕われている
あなたなら、別に不思議ではありませんわね。","No, not in the slightest... and, well, you do always have groupies swarming around you and idolizing you on a daily basis, so it's not even close to strange.",
69,Rika (高校生),"なんか引っかかる言い方ね……。
あれはただの学友たちで、学園内の情報交換を
するための集まりだって言ったでしょう？","What an unfair way of speaking...
Haven't I been telling you they're just school friends gathering to exchange information within the academy?",THAT'S WHAT THEY ALL SAY RIKAA
71,Satoko (高校生夏服),"そうムキになって反論してなくても結構ですわ。
私だって、冗談半分で申しているだけですのに。",You don't have to take it so seriously. I was half joking.,
73,Rika (高校生),……半分本気なんじゃない。,...Which means you were half serious.,... Which means you're half-serious.'
75,Satoko (高校生夏服),"だから、まぜっ返さないでくださいまし。
トゲがある言い方に聞こえたんでしたら、
それは梨花の考えすぎですわ。","Please don't get it mixed up.
If you're hearing me speaking passive-aggressively, then that's you overthinking it.","Don't mix things up.' instead of 'don't go assuming that then, please'"
77,Satoko (高校生夏服),"……ん？　それはそうと「ラブレター」と
先ほど梨花は仰いましたけど、このルチーアって
女子校……でしたわよね？","...Oh? So what you were talking about earlier was a ""love letter"", right? Isn't Lucia an all girls' school...?",OH WOW I CALLED IT
80,Rika (高校生),えぇ、そうよ。それが何か？,"Yeah, that's right. And what about it?",AHAAHAHAGHADADHADGADHHASDAFHFGA OKAY QUEENE GO OFFFFF
82,Satoko (高校生夏服),"……。その手紙を書いて渡しに来られたのは、
殿方ですか？",...Was the letter written and handed to you by some gentleman?,
84,Rika (高校生),"女子校だもの、女の子よ。同じ学年のようだけど、
名前と顔に見覚えがないから違うクラスの子ね。","It's an all girls' school, so it was a girl. She's the same grade as us, but I've never heard of her name or seen her face before, so she must be from a different class.",
86,Satoko (高校生夏服),その女の子が……梨花に愛の告白を？,"And that girl was... confessing her love to you, Rika?",confessing her love'
89,Rika (高校生),"……えぇ。だからどう返事をすればいいのか
わからなくて、正直困っているのよ。",...Yes. That's why I'm stuck on how to respond to her.,RYUKISHISHDIII WHAT ARE YOU THINKINGGG IM OBSESSED WITH THIS
91,Rika (高校生),"ねぇ、沙都子。この場合はどう返せば、
相手を傷つけずに断ることができるのかしら……？","Hey, Satoko. How should I handle this situation so she doesn't get hurt from me rejecting her...?",
93,Satoko (高校生夏服),"普通にそういう気持ちがない、と返すほうが
よろしいと思いますわ。変に慮ってしまうと、
かえって勘違いをさせてしまうでしょうし。","I feel like a straightforward ""I have no feelings for you"" response would be fine here. Answering in a more roundabout way would probably just lead to misunderstandings anyway.","the 'and if that's too weird' and on part is actually ""Answering in a more roundabout way would just lead to misunderstandings after all."""
95,Satoko (高校生夏服),"あるいは……そうですわね。
すでに心に決めた方がいる、というのでは
いかがかしら？","Or... that's right. How about trying, ""I already have eyes for someone""?",SATOKO!?$?!!?^%?#?&#$%?&?*?%685
97,Rika (高校生),"……そっちの方がかえって面倒になるわ。
もし広まりでもしたら、クラス中から
質問攻めにされることが確実でしょうね。","...That's even more bothersome. If that were to spread, I'd probably get barraged by questions during class in attempt to find out the truth.",
99,Satoko (高校生夏服),"それは大げさ……とは、言えませんわね。
この学園の皆さんは、見かけとは裏腹に
ゴシップネタがお好きなようですし……。","That's an exaggeration... eh, no, you're probably right.
Contrary to their outward appearance, everyone at this academy loves to gossip...",That's exaggerating it... or maybe not.' instead of 'And... you can't say it was an exaggeration either.'
101,Rika (高校生),"娯楽が少ないんだから、しょうがないわ。
そういうあなたこそ、誰彼の噂話には
興味がないの？","There aren't many fun things to do here, so it can't be helped.
Would you be completely uninterested if there was gossip about someone?",
103,Satoko (高校生夏服),"全然ないとは申しませんけど……
あいにく誰かさんと違って、そういうことを
気にしている余裕などありませんわ。","I can't say completely... but unfortunately, I have no room to worry about that sort of thing unlike some people.","wish she said something like this but it was actually 'But unfortunately, unlike some people I don't have the leisure to worry about those things.'"
112,Rika (高校生),…………。,............,GAHHHKKKKKHHJJKGKK
121,Satoko (高校生夏服),"……。少し言いすぎましたわ、梨花。
私が勉強で汲々としているのは、
あなたのせいではありませんのにね……。","......I said too much, Rika.
You're not the one at fault for my own struggles with studying...",You're not the one at fault for my struggling with studies...'
123,Rika (高校生),このルチーアに来たこと……後悔しているの？,Do you... regret coming to Lucia?,
125,Satoko (高校生夏服),"全くしていない、とは申し上げられませんけど……
最終的に選んだのは私です。ですから今の状況も、
自分自身で解決してこそですわ。","I can't entirely say that I don't... but at the end of the day, the one who chose was me. Therefore, I'll solve the current situation myself.",I tried to make this as ambiguous as possible // sounds good!
127,Rika (高校生),その言葉……私は素直に受け取ってもいいの？,Is it okay if... I interpret those words at face value?,
130,Satoko (高校生夏服),"えぇ。強がりでも偽りでもない、
私の本心でしてよ。ただ……。","Yeah. This is no lie, nor show of courage. This is how I truly feel.
It's just...",
132,Rika (高校生),ただ……なに？,It's just... what?,
134,Satoko (高校生夏服),"いえ……ふと、思ってしまったのですわ。
昔は梨花となら、何も気にすることなく
腹を割ってお話ができましたのに……。","Well... I suddenly remembered.
Back then, I could have heart-to-hearts with you without worrying about anything...",
136,Satoko (高校生夏服),"どうしてこの学園に入ってからは、
こうも意地の悪い探り合いをするような会話を
するようになってしまったのか、と……。","So I thought... why is it that as soon as we got into this academy, we started sounding each other out overcritically in every conversation?",
138,Rika (高校生),"……私はずっと、本心だけを話しているつもりよ。
昔も、当然今もね。","...I've always intended to speak openly with you, then and now.",
140,Satoko (高校生夏服),"さぁ、どうかしら……？　今もそうですが、
梨花は以前から大事で肝心なことを
話してくださらないことが何度もありましてよ。","Oh, really...? But there have been numerous instances up until now where you wouldn't share important or even vital information with me.",
142,Rika (高校生),……それは、いつのことよ？,...And when would that have been?,
144,Satoko (高校生夏服),"あら、お忘れになったんですの？
あなたと何度か喧嘩をした中に、
そのようなことがあったと思いますけど。","My, have you been forgetting?
I'm certain that sort of thing has happened in however many of our fights we've had.",
146,Rika (高校生),……。まさか「あのこと」……？,"...You couldn't be talking about ""that""...?",
149,Satoko (高校生夏服),"えぇ。つまらないことかもしれませんが、
私はよく覚えておりましてよ。","I am. It might be insignificant, but I remember it clear as day.",
