chara072005_03.bytes,chara,jp,en,Notes TL,Notes QC
30,Rika,"……なるほど、納得なのです。
圭一とボクのことを怖がって見ていた理由が、
これでよくわかりました。","...I see.
So that explains why you were so afraid whenever you saw Keiichi and I.",,
34,Kazuho,えっ……気づいてたの？,Oh... you noticed?,,
36,Rika,"みー。まるで大きなわんわんを目の前にして震える、
にゃーにゃー猫さんみたいだったのですよ。",Meep. It was almost like you were a big meow meow cowering before a big woof woof.,,
38,Kazuho,そ……そうだったんだ……。,"O-...oh, wow...",,
40,Rika,"一穂は、何も悪くないのですよ。
むしろ、あなたをそんなにも怖がらせてしまったことに
気づかなくて、ごめんなさいなのです。","You didn't do anything bad, Kazuho.
On the contrary, I'm sorry for not realizing how much I scared you.",,
42,Rika,"せっかくＳＦ劇をやるのだからと、張り切りすぎて……
お芝居とはいえ、あなたに酷い言葉やきつい態度を
何度もぶつけてしまったのですよ。","We were very excited since it was a sci-fi play... but we kept tossing a lot of harsh words and mean faces at you, even if it was just meant to be scripted.",,
44,Kazuho,"ううん。梨花ちゃんもそれだけ一生懸命だったって
ことなんだから、大丈夫だよ。それに……。","No, it's okay since you were just doing your best. But...",,
46,Rika,それに……なんですか？,But... what?,,
48,Kazuho,"お芝居の中とはいえ、前原くんと梨花ちゃんが
敵になって襲いかかってきたのは……
確かに怖かったよ。でも、それより……。","Play or not, seeing you and Maebara-kun becoming evil and attacking us... was definitely frightening. And even then...",,
56,Kazuho,"一番怖いと感じたのは……もうひとつの
「あったかもしれない世界」を、私は自分の都合で
見捨てようとしたこと……なんだ。","The most frightening thing to me was... that I abandoned that ""world that could have existed"" for my own convenience...",,
58,Kazuho,"私がいれば、救えたかもしれない多くの命より……
元の世界に戻ることを、私は選びそうになった。
それが怖くて、情けなくて……。","If I was there, I may have been able to save countless lives... but it seems I chose to return to my original world. It was scary... and shameful...",,
60,Kazuho,"自分はなんてひどい人間なんだろう、って
すごく腹が立って……怖くなっちゃったんだ……。",I got so angry... scared... at how terrible a person I must be to do such a thing.,,
67,Rika,…………。,............,,
70,Kazuho,"わかってるよ……私はただの夢、妄想の産物に
気持ちが囚われてるだけだって。","I know... it's just a dream, a product of my imagination that my feelings are trapped in.",,
72,Kazuho,"だけど……もしも、万が一……私の見たものが
「本当にあったかもしれない世界」だったとしたら、
私は……たくさんの人を、見殺しに……っ。","But... if by some fraction of a chance... I really did bear witness to a ""world that could have existed""... then I did nothing as countless people died...",,
75,Rika,"……では、一穂。
どの選択をしようとしたのかはともかくとして、
あなたに尋ねます。","...Kazuho. 
Regardless of the choice you made, I want to ask you something.",,
83,Rika,"あなたが聞きたいのは、厳しい現実ですか。
もしくは、優しい嘘……そのどちらでしょう？","Which do you want to hear more? 
The harsh truth? Or perhaps a gentle lie?",,
91,Kazuho,えっ……？,Huh...?,,
94,Rika,"いえ……この質問の答えはもう出ていたのです。
あなたが優しい嘘を求めるのであれば、
すでに今は「夢」だと決めつけていたでしょうから。","No... you already know the answer to this question. If you chose the gentle lie, then you would've decided that it was all just a ""Dream"".",,
96,Rika,"ですからボクは、厳しい現実として
あなたにこう言ってあげるのですよ。","So, I'm going to tell you the harsh reality.",,
99,Rika,"――神でもないのに、何を思い上がってやがるのです。
何様のつもりですか、あなたは？","—How dare you be so conceited, even though you aren't a god?
Who do you think you are?!",,
101,Kazuho,……っ……？,....ah-...?,,
104,Rika,"嫌な言い方になって、ごめんなさいなのです。
……ですが、言わせてください。同じような疑問と
後悔に苦しみ、悩んできた先達として……です。","I'm sorry for speaking brashly. 
...However, please allow me to stress this for you. I've anguished over similar doubts and regrets... as your predecessor.",,
106,Kazuho,先、達……？,Pre...decessor...?,,
108,Rika,"……こっちの話です。
気にしないでくださいなのですよ。",...That was me talking to myself. Please don't worry about it.,,
111,Kazuho,う、うん……。,O-Okay...,,
119,Rika,"選択が行われた時、そこには様々な#p思惑#sおもわく#rが絡みます。
そして利害関係が生まれ、全ての人が得をすることは
ほとんどの場合ありえない……いえ、ゼロです。","There are a plethora of calculations involved when you make a choice.
And from that arises one's self-interest, but it's nearly impossible for there to be a case where everyone benefits from that... no, the possibility of that is zero.",,
121,Rika,"未来へと進んだ時、そこで笑っている人もいれば
泣いている人もいる。あるいは怒り、憎んだ末に
自分以外の存在を害し、消そうという人も……。","As we move into the future, some people will be there laughing, and some will be crying. Or maybe some so angry and spiteful that they'd wish for anybody other than themselves to die or disappear...",,
123,Rika,"それが、万物の理なのです。だからこそ正義と悪は、
どちらも存在し続ける。創作のヒーローもののように、
ラスボスが完全に滅ぶことなど決してありえない。","That is the logic behind everything. That is exactly why justice and evil continue to exist. Like with fictional heroes, the final boss can never truly be destroyed.",,
125,Rika,"それどころか、残ったケガレがまた新たな戦いを
生み出すこともある。心の休まる暇などなく、
挫けたり、自棄になったりもしてしまう……。","On the other hand, the remaining corruption can give rise to a new battle. There is no rest for the heart and soul, so it becomes disheartening and even desperate...",,
127,Rika,"だから……みんな、願うのですよ。
今この瞬間、目の前にあるものだけは自分にとって
一番素敵なものであってほしいと――。","So... that's why everyone holds wishes.
In this very moment now, there are people longing for their wishes where the most wonderful thing in their eyes occurs right before them...",,
129,Rika,そう考えることは、悪いことですか……？,Is thinking that way troubling for you...?,,
136,Kazuho,り、梨花ちゃん……？,R-Rika-chan...?,,
139,Rika,"このおはぎと一緒です。甘くて、おいしい。
その味を堪能した後には、存在が消えてしまう……。","It's just like this ohagi. It's sweet and delicious.
Once you've savored its taste, it ceases to exist...",,
141,Rika,"でも、だからといっていつまでも残していたら、
やがて腐ってしまうでしょう。
冷蔵庫に入れても、せいぜい１週間……。","But while you could just leave it there forever, it will eventually start to go bad. And if you put it in the refrigerator, it's only good for at most another week...",,
143,Rika,"だったら、選ぶしかないのです。
その結果として、自分以外の誰かが泣いて
恨まれたとしても……。","So, you have no choice but to make a decision.
Even if someone besides you cries and is resentful because of it...",,
145,Rika,"ボク自身と、自分にとって大切な人たちが
笑いあって……幸せと心から感じられる
今日と明日のことだけを、考えていたいのですよ。","I personally only want to think about living out my days, where I and the people close to me can laugh together... and where I can truly feel happiness from the bottom of my heart.",,
147,Kazuho,…………。,............,,
149,Rika,"だから、一穂。
もう目の前には存在しないおはぎのことは、
忘れてしまいなさいなのです。","So, Kazuho.
Forget about the ohagi that no longer exists.",,
151,Rika,"そして……食べてください。
目の前にちゃんと存在する、このボクが差し出した
このおいしいおはぎを……。","And... just eat. Eat this delicious ohagi that actually does exist in front of you, the one that I'm presenting to you right now...",,
154,Kazuho,……っ……。,...gh...,,
156,Kazuho,ありがとう、梨花ちゃん。はむっ……。,"Thank you, Rika-chan. *munch*",,
159,Rika,おいしいですか、一穂？,"Does it taste good, Kazuho?",,
163,Kazuho,うん……おいしい。甘くて、とっても……。,Yes... it's delicious. It tastes very sweet...,,
165,Rika,"それはよかったのです。
一穂も未来に向けてふぁいと、おーなのですよ。
にぱー。","That's great to hear.
Face towards the future and fight on, Kazuho! Nipah~",,
176,Kazuho,"ケーイチ、急いで！
この扉の向こうに、レディ・ミーが……！","Quickly, K-1!
We need to get past the gate, where Lady Meep is-...!",,
177,圭一,"おっし……あとは任せろ！
ギャラクシーバズーカ、ファイアーっっ！！","Aight... leave it to me!
Galaxy Bazooka, FIREEEEEE!!",,
183,Rika,"み、みー！
ケーイチにカズホ、助けに来てくれたのですか？","M-Meep!
K-1 and Ka-zuho, you've come to save me?",,
184,圭一,"あぁ、もちろんだ！
この俺が来たからには、もう安心だぜ！","Yeah, of course!
You can rest assured now that I'm here!",,
185,Mion,"くっくっくっ……威勢のいいことだな、
銀河警察ケーイチ？
だが、残念ながら……ここがお前たちの墓場だ！","*cackle*... You're in high spirits, aren't you, Space Sheriff K-1?
But unfortunately for you... this will be your graveyard!",,
186,圭一,"へっ……その台詞、そっくりそのまま
お前に返してやるぜ！
行くぞ、暗黒魔王ミオーン！！","Heh... right back 'atcha!
Here I come, Demon Queen of Darkness, Miyon!!",,
188,？？？？,"いけー、宇宙刑事ケーイチ！
暗黒魔王をやっつけろー！！","Go, Space Sheriff K-1!
Defeat the Demon Queen of Darkness!!",,
190,？？？？,"宇宙剣士カズホも、しっかり！
悪いやつらに負けないで―！","Be careful, Space Warrior Ka-zuho!
Don't lose to the bad guys!",,
196,Miyuki (Casual),"いやー、何とかいい感じに進みそうだね。
一時はどうなることかと思ったけど……
これなら最後まで心配なさそうだよ。","Boy, seems like it's going pretty nicely. At some point I wondered what was going to happen... but seems I didn't need to worry in the end.",,
200,Nao (Casual),"そうね。観客の子どもたちの受けも
よかったみたいだし……大成功といっても
いいんじゃないかしら。",Indeed. The kids in the audience look like they're receiving it well... so it's fair to say this was a huge success.,,
205,Hanyuu (Casual),…………。,............,,
209,Hanyuu (Casual),"吹っ切れてくれたようですね、一穂。
梨花もなんだか前よりも強くなったみたいで、
僕はとっても嬉しいのですよ～。あぅあぅ♪","You've overcome this hurdle, Kazuho.
Rika's also seemed to have grown stronger than before, and I'm very happy about that~. Au au♪",,
