event01_33_00.bytes,Character Names,Japanese Text,Translation,Notes TL,Notes QC - Naegles
26,,"階段を駆け上がってプラットフォームに出ると、
ちょうど白い車両が入ってくるところだった。","As I ran up the stairs and out onto the platform, a white railroad car came into sight.",editz,
27,,"テレビなどで見慣れた、
愛嬌のある丸い顔のフロントマスクとは違って
どこか澄ましたような、目の細い尖った顔。","Unlike the charming, round faced ones I've seen on TV, this one looked prim, with sharp, slender eyes.",editz,
28,,"古くなった新幹線０系に代わり、１００系車両が
導入されたのは、約２年前の昭和６０年のこと。","The now outdated 0-type series bullet trains were replaced by the 100-type series after they were first introduced about 2 years ago, in 1985.",order change,
29,,"運用が開始されたというニュースは
色んなＴＶ番組で取り上げられていたので、
今でも当時のことは鮮明に思い出すことができる。","I still vividly remember when they were featured on several TV programs, which would detail how they would start operating.",editz,
30,Rika (高校生私服),"沙都子と一緒に、だいたい夕食時に
観ていたのよね……。",I used to watch them around dinnertime with Satoko...,order change,
31,,あの子はそれを見ながら、なんて言っていたっけ。,What would that girl say while we watched?,editz,
32,,"確か、「一度乗ってみたいとは思いますけど、
新幹線に乗る理由が思いつきませんわねぇ」……
だったような気がする。","If I recall, she'd say, ""I'd like to ride it at least once, but I can't think of a reason why I'd have to take a bullet train.""... or something along those lines.",editz,
33,Rika (高校生私服),……。沙都子……っ。,......Satoko......... ah.,,
34,,"その呟きをかき消して、車両が目の前で停車する。
ものすごい速さで走行するというのに、
正確に停車する技術は見事なものだ。","The railroad car stopped right in the front of my eyes, cutting me off.
It travels at a tremendous speed, so the fact they have technology to make it stop that accurately is remarkable.",editz,
35,,"私はチケットを握りしめ、
開いたドアから車内へと足を踏み入れる。",I snatched up my ticket and entered through the open door.,,
39,,"平日ということもあってか、
幸いなことに自由席には空席が多かった。","Fortunately, it's a weekday, so there are a lot of seats available.",,
42,Rika (高校生私服),ふぅ……。,Phew...,,
44,,"ちょうど空いていた二人掛けの席の窓側に
腰を下ろし、ゆっくりと動き出す外の景色に
目を向けながら、私はようやく息をつく。","I sit down on the window side of an available two-person seat. I finally take a breather as I gaze out the window to watch the scenery, which is slowly starting to move.",,
45,,"……だけど、のんびりとくつろぐ気分には
なれない。むしろ気持ちばかりが急いて、
じりじりと焦れる思いだけがあった。","...But I still couldn't get myself to relax. Instead, my emotions continued to rush into each other all at once until they simmered down into irritation alone.",editz,
48,Rika (高校生私服),どうして……。,Why...?,,
51,,"窓の外を流れる街並みから視線を外し、
ただひとつ手にしてきた小さなバッグを開く。",I look away from the landscape displayed beyond the window and open the small bag that I was carrying with me.,,
52,,"あわただしく飛び出してきたけれど、
これだけは忘れてはいけないと
出がけに掴んできた、写真立て。","Although I was in a hurry, I couldn't forget this photo frame, so I took it with me on my way out.",,
53,,"肝心なのは、中に収めたこの写真。
今の「あの子」とは雰囲気も背丈も違うけれど、
人に尋ねるにはこれを見せるしかないのだ。","What makes it so important is the picture I keep inside.
Her appearance and height are different now, but I have no choice but to show this to people when asking around.",,
56,Rika (高校生私服),ねえ、どうしてなの……沙都子……。,Just... why... Satoko...?,changed this but only so people don’t think about the backstreet boys song afhsdsfss,
58,,"写真の中、私の隣で屈託のない笑顔を浮かべる
沙都子に向かって、再び問いかけた。","I once again asked the Satoko in the picture, who was standing right next to me, wearing a carefree smile.",,
59,,"返事はない……戻ってくるはずが、ない。
でも私は、何度も問いかけずにはいられなかった。","She won't reply... and expecting her to come back is... impossible.
Despite that, I couldn't help but ask over and over.",editz,
65,,――昭和６２年１２月。,----December 1987.,,
66,,"話は、私がこうして新幹線に飛び乗った
ほんの数時間前にさかのぼる。",The story goes back a few hours before I stepped onto this bullet train.,,
72,Rika (高校生),……生徒会長が？,...The student council president?,,
74,,"お昼ご飯を食べ終えて、自室に戻った私に
クラスメイトがそう声をかけてきた。",I had just finished eating lunch when a classmate of mine called out to me as I was returning to my room.,,
76,？？？？,ええ……中庭で待ってるって。,Yes... she said she would be waiting for you in the courtyard.,,
77,,"最近仲良くなったそのクラスメイトの言葉を、
私は内心怪訝な思いで受け止める。",I found the words of this classmate I recently became friends with rather dubious.,,
78,,"生徒会長との接点は、私に全くないわけではない。
……むしろ奇妙な形でできてしまったせいで、
こうしてお声がかかっているというのが現状だ。",It's not like I've never had any prior contact with the student council president. ...It's more so the odd manner that she went about fetching for me.,editz,
79,,"とはいえ、……違和感はある。
呼び出しをするにしても、彼女の性格であれば
人を介さず直接言ってくるはずなんだけど……。","But really... this is peculiar. When she wants to talk to someone, she'll usually come up to them directly instead of using someone else as a messenger...",,
82,Rika (高校生),"そう……わかったわ。
わざわざ伝えにきてくれて、ありがとう。",Okay... I understand. Thank you for coming all the way just to tell me.,,
85,？？？？,"ううん。
それは別にいいんだけど……。","No, it's no problem, but...",,
88,Rika (高校生),……けど？,...But?,,
91,？？？？,やっぱりあの人、 まだあきらめてないんじゃないかな、って。 気をつけたほうがいいよ。,"In my head, I was like, ""That person seriously hasn't given up yet, huh?"" 
You should watch your step.",editz ,
94,Rika (高校生),…………。,............,,
97,？？？？,"あの生徒会長――
と言っても生徒会選挙は先月だったから、
まだそう呼ぶのは慣れない感じだけど……。","That student council president--
Although the election was a month ago already, I'm still not used to calling her that...",,
99,？？？？,"あの人って教師陣からすごく嫌われてて、
そのせいでほとんどの生徒から敬遠されてるよね。","That person is incredibly despised by the teachers, so most students tend to avoid her.",,
101,？？？？,"だから正直、あまり関わり合いにならない方が
いいと思うんだけど……。","In all honesty, I think it's better for you to stay away from her...",,
104,Rika (高校生),"心配してくれてありがとう。でも、大丈夫よ。
要件だけ聞いて、すぐに戻ってくるわ。",Thank you for your concern. But it'll be okay. I'll just hear her main points and come right back.,"Thank you for your concern. Worry is okay but the """"""real"""""" phrase is thank you for your concern.",
107,？？？？,……わかった。でも、気をつけてね。,...Understood. But do be careful.,,
111,,"私はそう気遣ってくれる彼女に笑顔を返し、
同室の子に声をかけてから部屋を出る。",I show a smile as thanks for her consideration and say goodbye to her before leaving the room.,editz + slight wording change,
114,,"暦が１２月に入ってから、
中庭には常に冬の冷たい風が吹きつけて少し肌寒い。","December had just arrived, so the courtyard grew chilly from the cold winter breeze.",,
115,,"出歩いている生徒がみな、身をすくめるようにして
足早に通り過ぎていく。……そんな寒空の下、
私を呼び出した人物はベンチに座って待っていた。","Bunches of students were passing by rapidly while shivering from the cold. ...But under that cold winter sky, the person who called me simply sat there, waiting on a bench.",added but and simply to help express rika's distaste for her here,
117,？？？？,"……あ、来てくださったんですね。
また無視されて、待ちぼうけになるかと
ちょっと心配していました。","...Ah, so you've arrived. I was a smidge worried I would get ignored and that my wait would be in vain.",,
120,Rika (高校生),"（そんなことをしたら、今度は部屋にまで
押しかけてくるくせに……）","(If I did that, she'd come directly to my room anyway...)",,
122,,"ふと喉の先にまでわいてきた憎まれ口を
奥へと押し込め、私はにっこりと笑いかける。","Pushing aside the foul-mouthed words that I nearly said out loud, I decide to show her a smile.",,
123,,"この学園のほとんどの人は、笑顔を返せば
ある程度ごまかすことができる。
……この人の場合は、効果が疑わしいけれど。","As long as you smile at someone at this academy, you can deceive them. ...It's doubtful whether it works on this person or not, though.",order change,
126,Rika (高校生),"寒い中、お待たせしてすみません。
ちょうどお昼に出ていましたので。",My apologies for keeping you waiting in the cold. I was out for lunch.,,
129,？？？？,"呼び出したのはこちらの方ですから、
お気になさらず。あと、寒い中で待ち続けるのも
考え方次第でわりと趣深いものですよ。","It was me who called you out here, so do be without worry. Also, waiting out in the cold can be rather elegant depending on your mindset.",editz,
130,,"そう言って生徒会長は、人懐っこい犬のような
無邪気な笑顔を浮かべる。","The student council president smiles innocently while saying that, almost as if she were a friendly dog.",,
131,,"……彼女のこういう発言は、天然なのか
嫌味なのかがとてもわかりづらい。
それが、安易に笑顔を返すことができない理由だ。",...It's always hard to tell whether she's being genuine or sarcastic. It's the reason why I find it hard to smile back at her.,,
134,Rika (高校生),（生徒会長……）,(Student council president...),,
136,,"本名は……忘れた。でも、
「生徒会長という肩書きさえ知っていれば十分」と
平気で私に言ってのける、実に変わった人。","I don't... remember her real name. But she responded nonchalantly with, ""As long as you're aware of my title as student council president, then that's good enough"". A truly odd person.",,
137,,"それが、ある意味で私がこの学園の教師よりも
苦手意識を覚える「天敵」だった。","You could say that this attitude of hers made me dislike her even more than the teachers do, as if she was always my ""natural enemy"".",,
139,？？？？,……そういえば、あの時もここでしたね。,"...Speaking of, that also happened here back then.",,
142,Rika (高校生),……あの時？,...Back then?,,
145,？？？？,"む？　もしかして忘れてしまったんですか？
私からあなたの方へ接触を試みた、あの日のことを。",Hm? Maybe you've forgotten? That day I tried to get in contact with you for the first time?,,
147,？？？？,"精一杯勇気を出してのアプローチでしたが……
どうやら、お気に召さなかったようですね。",I built up all of that courage to approach you... and it seems you still found my method unsatisfactory.,editz,
151,Rika (高校生),"へ、変な言い方をしないでください！
アプローチも何も、あれは……！","D-Don't phrase it so weirdly, please! That wasn't even you ""approaching"" me. That was...!",editz,
154,？？？？,"『今度の生徒会選挙で、私が生徒会長になったら
生徒会に入りませんか？　私の片腕として』","""If I become the student council president in this upcoming election, would you like to join as my right-hand?""",,
156,？？？？,"遠回しに誘うよりもストレートに
勧誘する方が誠意が伝わると思ったんですが、
あまり印象に残してもらえませんでしたか……。","I figured being straightforward and inviting you would convey my intentions sincerely, but it seems it didn't leave a strong impression on you regardless...",,
157,,"いや、残っている。残りまくりだ。
もし記憶を綺麗に除去する洗剤があれば、
私は衝動的に買い漁りたいくらいだ。","No, it did. It really did. So much so that if there was a soap that could wash away memories completely, I'd go on a shopping spree.",editz,
160,Rika (高校生),"……誘い方はどうであれ、
私は生徒会に入る気はありませんでしたので。","...No matter how you would have invited me, I had no intentions of joining the student council.",,
162,,"そう。生徒会に入ってしまったら、
沙都子との接点が減ってしまう。","Yes. Because if I joined the student council, I would miss out on more time with Satoko.",,
163,,"北条沙都子……
私と一緒にこの聖ルチーア学園に入学した、
誰よりも大切でかけがえのない親友。",Satoko Houjou... the one who I enrolled into St. Lucia Academy with. My irreplaceable best friend who's more important to me than anyone else.,,
164,,"ただでさえ以前よりも少なくなった
彼女との貴重な時間を、これ以上減らすことは
私にとってありえないことだった。",My precious time with her was already not enough; I couldn't allow it to dwindle any further.,,
167,Rika (高校生),"せっかくのお誘いをお断りしたことは、
本当に申し訳ないと思っています。",I think it's inexcusable that I declined the invitation that you took great pains to come out with.,editz,
169,Rika (高校生),それに、まさか……。,But I couldn't have...,,
172,？？？？,まさか……なんでしょう？,"Couldn't have... what, I wonder?",,
175,Rika (高校生),あ、いえ……。,"Ah, nothing...",,
178,？？？？,"まさか、宣言通り生徒会長になるとは
思わなかったから、と？","You couldn't have imagined I'd really become the student council president as I declared I would, maybe?",,
181,Rika (高校生),…………。,............,,
183,,"黙り込む私の代わりに、生徒会長は笑みのまま
肩をすくめてみせる。","As an answer to my silence, the president just shrugs, smiling.",,
184,,"一応、洗練された魅力的な動きに
見えないこともなかったけれど……
芝居がかっているようでもあって、少し鼻につく。","I more or less hadn't expected such faultless and graceful movements from her back then... but it seems like she treats life as if it were a play, and I'm kind of sick and tired of it.",what lmao... i'll come back to this later but why is this so hard to translate i don't get what she's saying. many figurative speech too,editz
186,？？？？,"ま、当然だと思いますよ。今回の選挙は
私の他に候補者が４名もいて、聖ルチーア学園の
歴史的にも、まれにみる激戦だったそうですから。","Well, I guess it's no surprise. There were four other candidates alongside me in this election. Historically speaking, it was a fierce battle rarely ever seen at St. Lucia Academy.",,
188,？？？？,"私を表立って支持する生徒は少なかったですし、
大方の人間は、私が生徒会長になれるはずがないと
完全に高をくくっていた。","There weren't many students supporting me at all, and people were sure that I wouldn't be able to win.",,
190,？？？？,"人生とは、何が起こるかわかりませんねー。
負けた私をツマミに大笑いするつもりでいた
誰かさんたちの楽しみを奪ってしまうことになって。",But life really is unexpected. It seems I stole the fun of the people who were going to laugh at me when I lost.,,
192,？？？？,"私を嘲笑うつもりでいた連中が、
予想もしなかった結果に愕然と顔を引きつらせて
膝から崩れ落ちる姿は、なかなか見物でしたよ。",It was quite the sight to see when they crumbled down to their knees with expressions of disgust because their expectations were blown out of the water.,editz,
195,Rika (高校生),（……。本当に、どうして……？）,"(...Really, why...?)",,
198,？？？？,"……どうしてこんな性格の悪い女が
生徒会長になったのか、と？","...Why has this girl with an awful personality become president of the student council, right?",,
204,Rika (高校生),えっ……？,Huh...?,,
210,？？？？,"いえ、お気になさらず。かなりの数の人たちが
そう思っていることは、すでに存じ上げています。","No, pay no mind. I have already been made aware that a considerable amount of people have this same thought.",,
211,,…………。,............,,
212,,"そう。私を呼びに来た生徒が、心配した理由……
それはこの新生徒会長が、悪評にまみれていたからだ。",Right. The reason why I was worrying about being called over here... was that the new president has a smeared reputation.,,
213,,"授業はサボる。
相手を見下した態度でズバズバとものを言い、
あっちこっちでトラブルを起こす。","She skips classes. She speaks in a manner that sounds as if she looks down on other people, she causes trouble here and there.",,
214,,"全国模試１位の成績、また他の「事情」もあって
自分勝手な言動は黙認されているものの……
教師陣からは完全に問題児扱いだ。","And she placed first on the national mock exam, which is just another ""reason"" permitting her to speak egotistically. Among teachers and adults, she is an absolute problem child.",,
215,,奇人、変人なんて言い方は、まだ優しいレベル。,"Her quirky, freakish way of speaking has yet to reach a level of kindness.",,
216,,"性根が腐ってる、悪人、要注意人物。
学園の恥晒し、犯罪予備軍、存在が不愉快……
などと、彼女への悪口は枚挙にいとまがない。","Her character sucks, she's a villain, a person worthy of police surveillance. She's the shame of the school, wannabe criminal, her presence makes you want to hurl... and so on. The list of disses towards her is endless.",,
217,,"そんな噂が、学年を飛び越えて
１年にまで広がっているのだから……
憎まれ度合いは、相当のものだった。","Because those rumors have jumped all over the school, even spreading into the first year circles... the degree of hatred towards her was substantial.",,
219,？？？？,"では、古手さん。あなたは、私が生徒会長に
当選すると思っていましたか？","Then, Furude-san, had you actually thought that I was going to be voted for president?",,
222,Rika (高校生),私は……そう……ですね。,I... that's... let's see.,,
224,,"適当に言いつくろおうとして……やめた。
この生徒会長、実にしつこい。逃げ切れる気がしない。","I stopped... trying to cover for myself lazily.
The president is incredibly persistent. I feel like I won't be able to get away that easily.",,
227,Rika (高校生),"勝ち負けはともかくとして……決選投票もなく、
圧倒的大差で当選されたことは予想外でした。",Winning or losing aside... there wasn't even a need for a tie-breaking vote. It was a surprise that you won by that massive of a margin.,"It was unexpected to me how you won by a quite massive margin.' which is her casually answering that no, she didn't expected her to get votes at all",
229,Rika (高校生),"選挙前の下馬評では支持層もなく、
組織票は見込めないとお聞きしていましたので。","According to pre-election speculations, I've heard that you had no supporting layer of voters either, as well as no outlook on a block vote.",,
232,？？？？,"ま、所詮は学校の選挙ですからね。
アメリカの大統領選挙みたいに、何か月もかけて
立候補者の中身を吟味したりはしませんし。","Well, it's a school election at the end of the day. No one is going to spend however many months scrutinizing a candidate like an election in the Americas.",,
234,？？？？,"狭い環境内で多数票を集めるのは、
さほど苦労なことではありませんよ。
……それに一応、勝つ算段がないこともなかった。",Amassing a vast amount of votes in a tight environment was barely any trouble. ...And I more or less didn't have to devise a means of winning either.,,
236,？？？？,"でも……ふふっ、やっぱりいいですね。
あなたのそういうところ、好感が持てます。","But... *chuckle*, you really are great. That side of yours makes a favorable impression.",,
239,Rika (高校生),は……？,Huuh...?,,
242,？？？？,"いったん覚悟を決めたら、迷わない。
言うべきことは、ハッキリ言う。","Once you've prepared yourself, you do not waver.
You clearly say what you have to say.",<- edited,
244,？？？？,"この学園の他の生徒たちにはない、稀有な素質。
ただの一生徒にしておくには惜しいです。",It's the uncommon quality that the students at this academy do not have. Just one student having it is precious.,,
247,Rika (高校生),…………。,............,,
249,,"賛辞を受けてこみ上げた感情は、
喜びではなく……もちろん、警戒だった。","The feeling welling up within me from receiving that compliment wasn't joy... it was, of course, wariness.",,
252,Rika (高校生),（やっぱり、そういう話か……）,(So it {i}was{/i} about this again...),,
254,Rika (高校生),"前にも言いましたが、生徒会へのお誘いでしたら
何度頼まれても私の答えは同じです。","I said it before, but if this is an invite to the student council, my answer will not change no matter how many times you ask.",,
257,Rika (高校生),"用件はそのことですか？
では、私はこれで失礼しま――。",Is that all you wanted? I'll excuse myself the-,editz,
261,？？？？,このまま帰ると、後悔すると思いますよ。,I believe you'll regret leaving at this point.,editz,
265,Rika (高校生),え……？,Huh...?,,
267,,"それまでと違う声質の呼びかけに、
踵を返して立ち去ろうとした足が止まる。","She calls out to me in a tone of voice much different from earlier, which causes my legs to stop from moving any further.",,
269,？？？？,"確かにあなたを生徒会に入れたいのは山々ですが、
今日ここに呼んだ理由はその話ではありません。",It's true that I very much want you to join the student council. But the reason I called you here today wasn't to talk about that.,,
271,？？？？,"まずは、そのことだけでも確かめてから
戻られても遅くはないと思いますよ。",I'm sure you won't be late if you at least confirm this with me before leaving.,,
274,Rika (高校生),……それは、どういうことですか？,...What do you mean?,,
277,？？？？,北条沙都子さん。,Satoko Houjou-san.,,
280,Rika (高校生),――……は？,...Huh?,,
282,,想定外の言葉に、腹の奥がすぅっと冷えていく。,I feel a cool breeze flow through my body as she uttered that name.,,
284,？？？？,"彼女についての話……といえば、
少しは聞く気になってくれますか？",If I told you that I wanted to talk to you about her... would you feel like listening to me?,,
285,,その問いかけに、否、とは返せなかった。,I wasn't able to answer her.,,
289,Rika (高校生),（やっぱり本当に、性格が悪い……！！）,(She seriously does have a terrible personality...!!),,
